set_id,block_id,session_id,set_order,reps_parsed,distance_parsed_m,block_volume_m,block_type,prescription_text,zones,styles,materials,skills,atomization,source_fidelity
RKF-10-12-03-B05-S01,RKF-10-12-03-B05,RKF-10-12-03,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-04-B01-S01,RKF-10-12-04-B01,RKF-10-12-04,1,,,700,Aquecimento,700 incluindo educativos e progressivos,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-04-B02-S01,RKF-10-12-04-B02,RKF-10-12-04,1,8,25,400,Desenvolvimento,"400: 2x(8x25); ímpares 15 m alático + fácil, pares técnico",,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-04-B03-S01,RKF-10-12-04-B03,RKF-10-12-04,1,8,100,800,Desenvolvimento,800: 8x100 = 25 forte + 75 A1 perfeito,A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-04-B04-S01,RKF-10-12-04-B04,RKF-10-12-04,1,8,50,400,Desenvolvimento,"400: 8x50 saídas, breakout, viradas e chegada",,,,Breakout,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-04-B05-S01,RKF-10-12-04-B05,RKF-10-12-04,1,4,150,600,Desenvolvimento,600: 4x150 A1/A2 alternando livre/costas,A2|A1,Livre/Crawl|Costas,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-04-B06-S01,RKF-10-12-04-B06,RKF-10-12-04,1,,,300,Regenerativo,300 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-05-B01-S01,RKF-10-12-05-B01,RKF-10-12-05,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-05-B02-S01,RKF-10-12-05-B02,RKF-10-12-05,1,4,100,1800,Desenvolvimento,1800: 3x[4x100 pull palmar P + 200 nado progressivo A1→A2],A2|A1,,Palmar,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-05-B03-S01,RKF-10-12-05-B03,RKF-10-12-05,1,8,75,600,Desenvolvimento,600: 8x75 = 25 braço unilateral + 50 nado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-05-B04-S01,RKF-10-12-05-B04,RKF-10-12-05,1,4,100,400,Desenvolvimento,400: 4x100 estilos,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-05-B05-S01,RKF-10-12-05-B05,RKF-10-12-05,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-06-B01-S01,RKF-10-12-06-B01,RKF-10-12-06,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-06-B02-S01,RKF-10-12-06-B02,RKF-10-12-06,1,2,800,1600,Desenvolvimento,"1600: 2x800 A1/A2; cada 800 = 300 livre + 200 costas + 300 livre, segundo 300 mais rápido",A2|A1,Livre/Crawl|Costas,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-06-B03-S01,RKF-10-12-06-B03,RKF-10-12-06,1,8,100,800,Desenvolvimento,"800: 8x100 progressivos 1–4, repetir 2x",,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-06-B04-S01,RKF-10-12-06-B04,RKF-10-12-06,1,4,150,600,Desenvolvimento,600: 4x150 = 50 perna + 100 nado,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-06-B05-S01,RKF-10-12-06-B05,RKF-10-12-06,1,,,400,Regenerativo,400 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-07-B01-S01,RKF-10-12-07-B01,RKF-10-12-07,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-07-B02-S01,RKF-10-12-07-B02,RKF-10-12-07,1,4,200,800,Desenvolvimento,800: 4x200 IM técnico,,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-07-B03-S01,RKF-10-12-07-B03,RKF-10-12-07,1,8,100,800,Desenvolvimento,800: 8x100 = 50 estilo + 50 livre A2,A2,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-07-B04-S01,RKF-10-12-07-B04,RKF-10-12-07,1,4,250,1000,Desenvolvimento,1000: 4x250 = 100 livre + 50 costas + 50 peito + 50 livre progressivo,,Livre/Crawl|Costas|Peito,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-07-B05-S01,RKF-10-12-07-B05,RKF-10-12-07,1,,,300,Regenerativo,300 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-08-B01-S01,RKF-10-12-08-B01,RKF-10-12-08,1,,,700,Aquecimento,700 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-08-B02-S01,RKF-10-12-08-B02,RKF-10-12-08,1,4,50,1200,Desenvolvimento,1200: 2x[4x50 = 25 paraquedas P + 25 livre transferência + 4x100 livre A2],A2,Livre/Crawl,Paraquedas,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-08-B03-S01,RKF-10-12-08-B03,RKF-10-12-08,1,8,100,800,Desenvolvimento,800: 8x100 = 50 pull palmar P + 50 nado,,,Palmar,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-08-B04-S01,RKF-10-12-08-B04,RKF-10-12-08,1,4,100,400,Desenvolvimento,400: 4x100 progressivos 1–4,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-08-B05-S01,RKF-10-12-08-B05,RKF-10-12-08,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-09-B01-S01,RKF-10-12-09-B01,RKF-10-12-09,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-09-B02-S01,RKF-10-12-09-B02,RKF-10-12-09,1,,,2800,Desenvolvimento,"2800: 2x[100+200+300+400+300+200+100]; 1ª escada A1→A2→A1, 2ª A1→A2 forte→A1",A2|A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-09-B03-S01,RKF-10-12-09-B03,RKF-10-12-09,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-10-B01-S01,RKF-10-12-10-B01,RKF-10-12-10,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-10-B02-S01,RKF-10-12-10-B02,RKF-10-12-10,1,4,50,1200,Desenvolvimento,1200: 3x[4x50 perna progressivos 1–4 + 200 nado A2],A2,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-10-B03-S01,RKF-10-12-10-B03,RKF-10-12-10,1,8,100,800,Desenvolvimento,800: 8x100 = 25 perna forte + 75 nado,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-10-B04-S01,RKF-10-12-10-B04,RKF-10-12-10,1,4,200,800,Desenvolvimento,800: 4x200 livre/costas negative split,,Livre/Crawl|Costas,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-10-B05-S01,RKF-10-12-10-B05,RKF-10-12-10,1,,,100,Regenerativo,100 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-11-B01-S01,RKF-10-12-11-B01,RKF-10-12-11,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-11-B02-S01,RKF-10-12-11-B02,RKF-10-12-11,1,3,8,2800,Desenvolvimento,2800: 3x8x100 + 200 fácil entre blocos (2x200); B1 progressivos 1–4 x2; B2 2 A1 + 2 A2 + 2 A2 forte + 2 rápidos técnicos; B3 alternar livre/costas aumentando a velocidade a cada par,A2|A1,Livre/Crawl|Costas,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-11-B03-S01,RKF-10-12-11-B03,RKF-10-12-11,1,2,100,200,Desenvolvimento,200: 2x100 = 50 perna + 50 nado,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-11-B04-S01,RKF-10-12-11-B04,RKF-10-12-11,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-12-B01-S01,RKF-10-12-12-B01,RKF-10-12-12,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-12-B02-S01,RKF-10-12-12-B02,RKF-10-12-12,1,6,400,2400,Desenvolvimento,2400: 6x400 — #1 A1; #2 200 livre+200 costas; #3 4x100 progressivos; #4 100 perna+300 nado; #5 200 pull+200 nado; #6 negative split,A1,Livre/Crawl|Costas,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-12-B03-S01,RKF-10-12-12-B03,RKF-10-12-12,1,6,100,600,Desenvolvimento,600: 6x100 medley técnico,,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-12-B04-S01,RKF-10-12-12-B04,RKF-10-12-12,1,,,500,Regenerativo,500 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-13-B01-S01,RKF-10-12-13-B01,RKF-10-12-13,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-13-B02-S01,RKF-10-12-13-B02,RKF-10-12-13,1,3,300,900,Desenvolvimento,900: 3x300 A2,A2,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-13-B03-S01,RKF-10-12-13-B03,RKF-10-12-13,1,6,200,1200,Desenvolvimento,1200: 6x200 A2 progressivo,A2,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-13-B04-S01,RKF-10-12-13-B04,RKF-10-12-13,1,4,100,400,Desenvolvimento,400: 4x100 progressivos 1–4,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-13-B05-S01,RKF-10-12-13-B05,RKF-10-12-13,1,8,50,400,Desenvolvimento,400: 8x50 = 25 rápido + 25 fácil,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-13-B06-S01,RKF-10-12-13-B06,RKF-10-12-13,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-14-B01-S01,RKF-10-12-14-B01,RKF-10-12-14,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-14-B02-S01,RKF-10-12-14-B02,RKF-10-12-14,1,4,50,1200,Desenvolvimento,"1200: 3 rounds de 400; cada round = 100 estilo técnico + 4x50 estilo/nado + 4x25 velocidade curta; borboleta, costas e peito",,Costas|Peito|Borboleta,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-14-B03-S01,RKF-10-12-14-B03,RKF-10-12-14,1,4,200,800,Desenvolvimento,800: 4x200 livre A2,A2,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-14-B04-S01,RKF-10-12-14-B04,RKF-10-12-14,1,8,25,200,Desenvolvimento,200: 8x25 livre velocidade curta com recuperação ampla,,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-14-B05-S01,RKF-10-12-14-B05,RKF-10-12-14,1,,,400,Regenerativo,400 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-15-B01-S01,RKF-10-12-15-B01,RKF-10-12-15,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-15-B02-S01,RKF-10-12-15-B02,RKF-10-12-15,1,,,800,Desenvolvimento,800 A1/A2,A2|A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-15-B03-S01,RKF-10-12-15-B03,RKF-10-12-15,1,2,400,800,Desenvolvimento,800: 2x400 A2,A2,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-15-B04-S01,RKF-10-12-15-B04,RKF-10-12-15,1,3,200,600,Desenvolvimento,600: 3x200 A2 progressivos,A2,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-15-B05-S01,RKF-10-12-15-B05,RKF-10-12-15,1,4,100,400,Desenvolvimento,400: 4x100 progressivos 1–4,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-15-B06-S01,RKF-10-12-15-B06,RKF-10-12-15,1,4,50,200,Desenvolvimento,200: 4x50 velocidade curta,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-15-B07-S01,RKF-10-12-15-B07,RKF-10-12-15,1,4,25,100,Desenvolvimento,100: 4x25 técnica/saída,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-15-B08-S01,RKF-10-12-15-B08,RKF-10-12-15,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-16-B01-S01,RKF-10-12-16-B01,RKF-10-12-16,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-16-B02-S01,RKF-10-12-16-B02,RKF-10-12-16,1,3,300,900,Desenvolvimento,900: 3x300 = 100 perna + 100 pull + 100 nado,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-16-B03-S01,RKF-10-12-16-B03,RKF-10-12-16,1,3,200,600,Desenvolvimento,600: 3x200 = 50 perna + 50 braço + 100 nado progressivo,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-16-B04-S01,RKF-10-12-16-B04,RKF-10-12-16,1,6,100,600,Desenvolvimento,600: 6x100 = 25 perna + 25 braço + 50 nado,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-16-B05-S01,RKF-10-12-16-B05,RKF-10-12-16,1,4,100,400,Desenvolvimento,400: 4x100 livre A2 forte técnico,A2,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-16-B06-S01,RKF-10-12-16-B06,RKF-10-12-16,1,,,500,Regenerativo,500 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-17-B01-S01,RKF-10-12-17-B01,RKF-10-12-17,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-17-B02-S01,RKF-10-12-17-B02,RKF-10-12-17,1,4,400,1600,Desenvolvimento,1600: 4x400 negative split,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-17-B03-S01,RKF-10-12-17-B03,RKF-10-12-17,1,3,300,900,Desenvolvimento,900: 3x300 = 200 A1/A2 + 100 A2 forte,A2|A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-17-B04-S01,RKF-10-12-17-B04,RKF-10-12-17,1,2,200,400,Desenvolvimento,400: 2x200 progressivos,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-17-B05-S01,RKF-10-12-17-B05,RKF-10-12-17,1,2,100,200,Desenvolvimento,200: 2x100 estilos técnicos,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-17-B06-S01,RKF-10-12-17-B06,RKF-10-12-17,1,4,25,100,Desenvolvimento,100: 4x25 aceleração,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-17-B07-S01,RKF-10-12-17-B07,RKF-10-12-17,1,,,100,Regenerativo,100 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-18-B01-S01,RKF-10-12-18-B01,RKF-10-12-18,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-18-B02-S01,RKF-10-12-18-B02,RKF-10-12-18,1,3,200,1800,Desenvolvimento,1800: 3x broken 600 — B1 3x200; B2 6x100; B3 12x50; melhorar técnica à medida que a distância diminui,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-18-B03-S01,RKF-10-12-18-B03,RKF-10-12-18,1,8,50,400,Desenvolvimento,400: 8x50 saída/breakout/virada,,,,Breakout,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-18-B04-S01,RKF-10-12-18-B04,RKF-10-12-18,1,4,100,400,Desenvolvimento,400: 4x100 = 50 perna + 50 nado,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-18-B05-S01,RKF-10-12-18-B05,RKF-10-12-18,1,,,100,Regenerativo,100 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-19-B01-S01,RKF-10-12-19-B01,RKF-10-12-19,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-19-B02-S01,RKF-10-12-19-B02,RKF-10-12-19,1,3,600,1800,Desenvolvimento,1800: 3x600 — #1 300 livre+300 costas; #2 200 livre+200 IM+200 livre; #3 100 perna+200 nado+100 pull+200 nado,,Livre/Crawl|Costas,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-19-B03-S01,RKF-10-12-19-B03,RKF-10-12-19,1,8,150,1200,Desenvolvimento,1200: 8x150 = 50 estilo + 100 livre A2,A2,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-19-B04-S01,RKF-10-12-19-B04,RKF-10-12-19,1,8,50,400,Desenvolvimento,400: 8x50 progressivos 1–4,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-19-B05-S01,RKF-10-12-19-B05,RKF-10-12-19,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B01-S01,RKF-10-12-20-B01,RKF-10-12-20,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B02-S01,RKF-10-12-20-B02,RKF-10-12-20,1,8,50,400,Desenvolvimento,400: 8x50 perna variados,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B03-S01,RKF-10-12-20-B03,RKF-10-12-20,1,4,150,600,Desenvolvimento,600: 4x150 pull/nado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B04-S01,RKF-10-12-20-B04,RKF-10-12-20,1,4,100,800,Desenvolvimento,800: 400 A1 + 4x100 progressivos,A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B05-S01,RKF-10-12-20-B05,RKF-10-12-20,1,3,200,600,Desenvolvimento,600: 3x200 A2 negative split,A2,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B06-S01,RKF-10-12-20-B06,RKF-10-12-20,1,8,50,400,Desenvolvimento,400: 8x50 estilo/livre,,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B07-S01,RKF-10-12-20-B07,RKF-10-12-20,1,8,25,200,Desenvolvimento,200: 8x25 alternando velocidade curta e técnico,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B08-S01,RKF-10-12-20-B08,RKF-10-12-20,1,2,100,200,Desenvolvimento,200: 2x100 medley técnico,,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-20-B09-S01,RKF-10-12-20-B09,RKF-10-12-20,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-21-B01-S01,RKF-10-12-21-B01,RKF-10-12-21,1,4,50,600,Aquecimento,600 aquecimento: 200 livre + 200 IM drill + 4x50 progressivos,,Livre/Crawl|Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-21-B02-S01,RKF-10-12-21-B02,RKF-10-12-21,1,4,200,800,Desenvolvimento,800: 4x200 IM = 50 drill + 50 nado por estilo,,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-21-B03-S01,RKF-10-12-21-B03,RKF-10-12-21,1,8,100,800,Desenvolvimento,"800: 8x100 IM progressivos 1–4, repetir 2x",,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-21-B04-S01,RKF-10-12-21-B04,RKF-10-12-21,1,4,200,800,Desenvolvimento,800: 4x200 = 100 IM + 100 livre A2,A2,Livre/Crawl|Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-21-B05-S01,RKF-10-12-21-B05,RKF-10-12-21,1,,,400,Regenerativo,400 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-22-B01-S01,RKF-10-12-22-B01,RKF-10-12-22,1,,,600,Aquecimento,600 aquecimento variado + 200 IM técnico,,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-22-B02-S01,RKF-10-12-22-B02,RKF-10-12-22,1,4,200,800,Desenvolvimento,800: 4x200 perna = 50 borbo+50 costas+50 peito+50 livre,,Livre/Crawl|Costas|Peito|Borboleta,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-22-B03-S01,RKF-10-12-22-B03,RKF-10-12-22,1,4,300,1200,Desenvolvimento,1200: 4x300 = 100 IM +100 livre A2 +100 IM progressivo,A2,Livre/Crawl|Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-22-B04-S01,RKF-10-12-22-B04,RKF-10-12-22,1,8,75,600,Desenvolvimento,600: 8x75 =25 perna estilo+25 nado estilo+25 livre,,Livre/Crawl,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-22-B05-S01,RKF-10-12-22-B05,RKF-10-12-22,1,,,400,Regenerativo,400 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-23-B01-S01,RKF-10-12-23-B01,RKF-10-12-23,1,,,600,Aquecimento,600 aquecimento,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-23-B02-S01,RKF-10-12-23-B02,RKF-10-12-23,1,,,1800,Desenvolvimento,"1800: 2x[100 IM+200 IM+300 (100 IM+200 livre)+200 IM+100 IM], 2ª volta mais rápida",,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-23-B03-S01,RKF-10-12-23-B03,RKF-10-12-23,1,8,100,800,Desenvolvimento,800: 8x100 IM progressivos 1–4 x2,,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-23-B04-S01,RKF-10-12-23-B04,RKF-10-12-23,1,8,50,400,Desenvolvimento,400: 8x50 estilo forte técnico/livre fácil,,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-23-B05-S01,RKF-10-12-23-B05,RKF-10-12-23,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-24-B01-S01,RKF-10-12-24-B01,RKF-10-12-24,1,,,600,Aquecimento,600 aquecimento,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-24-B02-S01,RKF-10-12-24-B02,RKF-10-12-24,1,4,100,1600,Desenvolvimento,1600: 4x[4x100]: IM técnico / 50 estilo+50 livre / IM A2 / IM progressivo,A2,Livre/Crawl|Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-24-B03-S01,RKF-10-12-24-B03,RKF-10-12-24,1,8,100,800,Desenvolvimento,"800: 8x100 progressivos 1–4, variando estilos e IM",,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-24-B04-S01,RKF-10-12-24-B04,RKF-10-12-24,1,8,50,400,Desenvolvimento,400: 8x50 perna 4 estilos,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-24-B05-S01,RKF-10-12-24-B05,RKF-10-12-24,1,,,200,Regenerativo,200 regenerativo,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-25-B01-S01,RKF-10-12-25-B01,RKF-10-12-25,1,,,600,Aquecimento,600 aquecimento,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-25-B02-S01,RKF-10-12-25-B02,RKF-10-12-25,1,6,400,2400,Desenvolvimento,2400: 6x400: A1 IM fracionado; 200 IM+200 livre; 100 perna IM+300 nado; 200 pull+200 IM; 4x100 IM progressivos; 50 estilo/50 livre x4,A1,Livre/Crawl|Medley,,Perna,normalized_atomic_block,NORMALIZED_EXACT
